Main_cat	Sub_category_1	Sub_category_2	Sub_category_3	Description
Fuel preparation	Exhaust gas purification	Exhaust gas recirculation	EGR valve/intake manifold	"The EGR valve is the key component of exhaust gas recirculation. It ensures that part of the exhaust gas flow is guided to the intake pipe and then back into the combustion chamber. This reduces the oxygen content, which results in a reduction in the amount of fuel injected. The combustion temperature drops and with it the nitrogen oxide emissions. Since the exhaust gas components no longer participate in combustion, they also reduce the temperature by absorbing heat. Exhaust gas recirculation can be achieved internally by the valve control. The intake valve opens shortly after the power stroke, which leads to the exhaust gases mixing with the incoming air. However, this form is not used in diesel vehicles, as they have hardly any valve overlap and are also turbocharged. EGR valve from Hella for a Ford Focus II station wagon External exhaust gas recirculation using an EGR valve Exhaust gas recirculation using an EGR valve is an important measure in the design of diesel engines in order to be able to meet the nitrogen oxide limits of the strict Euro 6 standard. This is basically a connection between the exhaust pipe and the intake pipe, the cross-section of which is regulated by the engine control system. The control is necessary because the reduction of nitrogen oxides conflicts with the reduction of soot particles. Low combustion temperatures ensure low nitrogen oxide emissions, but soot pollution increases. Carbon monoxide and unburned hydrocarbons also occur more frequently. The solution can be to close the EGR valve at low combustion chamber temperatures (cold start) and when engine loads increase. Another approach is to use high combustion chamber temperatures to avoid the formation of soot particles and to minimize the limits for unburned hydrocarbons and carbon monoxide and to convert the nitrogen oxide downstream into nitrogen and water using a special SCR catalyst. High-pressure EGR valve If the exhaust gas is taken upstream of the turbocharger, it is called a high-pressure EGR valve. The corresponding exhaust gas is fed into the compressed fresh air after the turbine wheel. This EGR path is usually cooled in vehicles from the Euro 4 standard. A pressure control flap can increase the EGR rate by creating a greater pressure gradient between the intake manifold and the exhaust port in turbocharged engines. Low-pressure EGR valve With this EGR valve, the exhaust gas is taken after the turbocharger and the diesel particulate filter and fed into the fresh air before compression by the turbine wheel. This has a number of advantages. The cooler and less particulate exhaust gas enables better filling, the turbocharger can respond better to load changes and the throttle requirement is reduced by the pressure control flap."
Fuel preparation	Exhaust gas purification	Exhaust gas recirculation	Pressure transducer	"Pressure converters are responsible for controlling the EGR valve, i.e. regulating the EGR rate depending on the speed, engine temperature, boost pressure and intake air temperature. They are connected to the EGR valve via a vacuum hose and of course also have electrical connections so that the control unit can issue the corresponding commands. Since exhaust gas recirculation reduces nitrogen oxide emissions but increases particle emissions, rapid adjustment of the EGR rate is very important. Pressure converters must therefore be able to implement necessary changes as quickly as possible. Pressure converter for the EGR valve Different pressure converters Depending on how exhaust gas recirculation is implemented, the control of the system also differs. Mechanical pressure converters are just as conceivable as electro-pneumatic pressure converters and electric actuators. The pressure converters create a control pressure from negative pressure and atmospheric pressure, which is used to continuously adjust pneumatic actuators in the EGR valve. They tend to be able to react more quickly than electric motors. However, electric motors offer other advantages. For example, after the engine is switched off, they can run a cleaning program in which the EGR valve is fully opened and closed. This reduces the build-up of soot or oil vapors. Finally, the EGR valve sticking is a common defect in exhaust gas recirculation."
Fuel preparation	Exhaust gas purification	Exhaust gas recirculation	cooler	"An exhaust gas recirculation cooler or EGR cooler has the task of cooling down the exhaust gas diverted by the EGR valve. This is mixed with the fresh air in the intake pipe and is intended to lower the combustion temperature in the cylinder. This happens on the one hand because the oxygen content decreases and less fuel is injected and on the other hand because the exhaust particles no longer take part in the combustion. Instead, they even absorb heat. The lower combustion temperature reduces nitrogen oxides. This effect can be further increased by cooling the exhaust gases beforehand. The technology is necessary due to increasingly strict emission standards. The emission limit for NOx> fell from 180 mg/km to just 80 mg/km in the Euro 6 standard. EGR cooler from Valeo Structure of an EGR cooler The EGR cooler consists of a metal pipe and is installed behind the EGR valve. The diverted exhaust gas flows through the cooler, which is integrated into the car's normal cooling circuit. The coolant absorbs the heat from the hot exhaust gases and then releases it again at the radiator in the front of the vehicle. EGR coolers are a relatively new development that only became widespread with the introduction of the Euro 4 standard. The first versions are therefore very vulnerable. Just like EGR valves, oil vapors and soot particles can clog the EGR cooler, which not only worsens the exhaust emissions, but also leads to a loss of performance and engine jerking. Also make sure that the cooling lines are flexible and have no cracks or kinks."
Fuel preparation	Exhaust gas purification	Secondary air injection		"Secondary air injection or the secondary air system (SLS) is the introduction of air into the exhaust tract of a car. It helps to quickly bring the catalytic converter up to operating temperature during a cold start. This is necessary because, particularly when the engine is cold, there are many unburned hydrocarbons and poisonous carbon monoxide in the exhaust gas stream that cannot be neutralized by the exhaust gas aftertreatment. The catalytic reaction requires a minimum temperature of 350  C. The working temperature is only reached at around 500  C. By introducing air, parts of the unburned fuel react with the oxygen in a thermal afterburning. This exothermic reaction generates heat. Secondary air pump for a VW Golf IV Advantages of a secondary air system Secondary air injection offers significant advantages. On the one hand, part of the unburned fuel in the exhaust gas stream is oxidized and can therefore not enter the environment, and on the other hand, the heat generated helps to start the catalytic process. This usually only takes a few seconds instead of 3 to 5 minutes without a secondary air system. The addition of oxygen is important for another reason. During a cold start, the fuel-air mixture is injected substoichiometrically, i.e. with an excess of fuel. However, oxygen is necessary in order to be able to neutralise the harmful exhaust gas components. The secondary air injection is usually limited in time. As soon as the necessary temperatures are reached and the fuel-air mixture has been regulated to a value around lambda=1, the system can be stopped. Types of secondary air injection In many cases, a secondary air pump is used to supply the necessary air during a cold start. It is usually connected to the air filter box and brings the air into the exhaust tract through the secondary air valve. The pump is usually operated electrically, but mechanical variants driven by the engine were also common in the past. The secondary air valve, on the other hand, is often controlled pneumatically by negative and positive pressure, with electromagnetic actuation offering the advantage of a faster reaction time when opening and closing. Passive secondary air systems, on the other hand, do not require a separate pump and instead only work through the negative pressure phases in the exhaust gas flow. Such systems are very low-maintenance."
Fuel preparation	Exhaust gas purification	Secondary air injection	Secondary air pump	"The secondary air pump is, alongside the secondary air valve, the main component of a secondary air system. The term ""secondary"" indicates that the air supply takes place downstream of the engine. In concrete terms, this means that the secondary air pump usually sucks in air in the air filter box and pumps it through the open valve into the exhaust tract in front of the catalytic converter. The oxygen contained in the air can react with unburned hydrocarbon particles in the exhaust gas flow. In this process of thermal afterburning, chemical energy is converted into heat. The exhaust gas is heated and brings the catalytic converter up to temperature much more quickly than if there were no secondary air pump. The additional oxygen supply naturally reduces the hydrocarbon content in the exhaust gas, which is particularly important in the cold start phase of an engine. Secondary air pump for VW Golf 4 Replacing a defective secondary air pump The secondary air pump is usually an elongated, round component that is connected to the air filter via an air hose or a line. An electric motor controlled by the control unit drives the pump, which leads to the secondary air valve on the pressure side. If the amount of air delivered is not sufficient, this is detected by the on-board diagnostics and displayed via the corresponding indicator light. Since this is a defect in the general inspection, you should get to the bottom of the problem. First check the system for leaks. The secondary air valve can also be the cause of the error, because if it can no longer be opened, no air can be blown in. If the pump is affected, you will often hear screeching noises caused by friction. In this case, replacing it is usually the only solution. Depending on the position of the pump, this is also possible for hobby mechanics."
Fuel preparation	Mixture preparation			"Mixture preparation or mixture formation is the mixing of fuel with air. Oxygen is necessary so that the combustion process can take place in the cylinder and the chemical energy stored in the fuel is released as light, pressure and heat during oxidation. The energy moves the pistons, which drive the crankshaft via connecting rods. The aim of mixture formation is to provide a sufficient amount of fuel and air in every operating state, but at the same time to work as efficiently as possible in order to save fuel and protect the environment. Pressure control valve for a common rail injection system Cold start When the engine is cold, only a small part of the fuel components evaporate. The rest condenses instead on the intake manifold or the cylinder walls. In order for the mixture to be ignitable, the amount of fuel injected must therefore be greatly increased. In contrast to the stoichiometric mixture ratio, particularly ""rich"" mixtures are required for this. Warming up The engine warms up slowly as it runs. Condensation losses on the cylinder walls and intake manifold decrease and the air content can increase. This continues until the fuel-air mixture approaches the stoichiometric mixture ratio. Full load For maximum power output, the fuel-air mixture is enriched, i.e. more fuel is injected. Full load is when the throttle valve is fully open. In this driving state, the control unit aims for a lambda value of 0.85 to 0.95. In this range, the most torque can be generated at the expense of consumption. How injection systems work The injection pump is the heart of modern injection systems. It increases the fuel pressure and, depending on the design, presses the fuel through one or more injection valves. The fuel is finely atomized and mixes with air to finally burn in the cylinder. The finer the fuel droplets, the more efficient this process is. The result is good consumption and exhaust emissions, but particulate matter pollution also increases because the ever smaller particles are less easy to filter out of the exhaust gas. The injection itself can be solved in different technical ways and can either take place before the throttle valve in the intake manifold or after the throttle valve. In this case, several injection valves are usually used, which are operated at the same pressure via a common distributor pipe (common rail). If the fuel is injected directly into the combustion chamber, this is called direct injection and internal mixture formation. The process has the advantage that disruptive influences such as deposits on the pipe walls are avoided. However, the corresponding systems are quite expensive due to the complex control system."
Fuel preparation	Mixture preparation	Parking device		"As is well known, diesel engines spontaneously ignite when the fuel-air mixture is compressed. But how do you turn off such a system? By blocking the flow of fuel, of course. This task is carried out by so-called shut-off devices. They can be implemented either mechanically or electrically, although mechanical shut-off devices are only relevant for classic and vintage cars. With electrical shutdown, the fuel supply is kept open by pull or push magnets. If the engine is switched off, the magnetic field of the electromagnet collapses. The mechanical force of a return spring closes the bore and more fuel can flow in. The engine stops. Shut-off device for the injection system Shut-off devices as a safety element The amount of fuel delivered is usually already determined by the quantity control unit in the fuel feed pump, i.e. the fuel supply should already be interrupted when the ignition is switched off. The shut-off device therefore functions purely as a safety element. If the system fails, a defect in the shut-off device can mean that the engine will not stop, even if the ignition key has been removed. It is conceivable, for example, that the valve's return spring is broken or that a fault current is preventing the electromagnet from being de-energized, so that it cannot close. A new shut-off device can solve the problem."
Fuel preparation	Mixture preparation	poetry		"Seals play a role in almost all areas of the engine and fuel preparation is no exception. Seals on the injection pump and sealing rings on the injection valves and nozzle holders are essential to ensure that the valuable liquid cannot leak despite high pressure. Depending on where they are used, they are made of rubber, plastic or metal such as copper. Like almost all seals, the sealing rings of the injection system are inexpensive, but replacing them can be expensive due to the high time required. Seals are mainly replaced when defective parts are replaced. For example, a new set of seals is used when the injection pump and the injection valves need to be replaced. Sealing ring for an injection valve Changing the seals The injection system of modern vehicles in particular is a complex system of coordinated parts. Any intervention should therefore be carried out by a qualified specialist workshop in order to avoid any problems such as uneven engine running or poor exhaust emissions. Only carry out any repairs yourself if you have the necessary knowledge and the right tools."
Fuel preparation	Mixture preparation	Throttle valve/connector/vacuum line		"The position of the throttle valve can be used to regulate the performance of an engine. It is usually located in the intake pipe between the air filter and intake manifold in a separate housing known as a throttle valve body. The position of the throttle valve in the pipe cross-section determines how much air is sucked in by the descending piston using negative pressure. The amount of fuel that can be injected is in turn derived from the amount of air available. This is known as quantitative mixture regulation. The control unit usually aims for a stoichiometric mixture ratio of lambda=1, in which just as much fuel is supplied as can be completely burned by the available oxygen. A special form of throttle valve is the individual throttle, where the amount of air can be determined separately for each cylinder. Due to the associated design effort, these throttle valves are only used in racing engines and particularly sporty production vehicles. Throttle valve from Bosch for a Peugeot 206 CC Position of the throttle valve The throttle valve is ultimately just a circular piece of metal, but its position has a significant impact on the behavior of the engine. If too little air gets into the combustion chamber, the engine will stutter and jerk. In the worst case, the engine may even stall. To prevent this from happening, the position of the throttle valve in modern vehicles is determined directly by the control unit. This regulates the throttle valve via the electric motor of the control valve actuator, which is often also referred to as the idle speed controller or idle control valve, so that the actual speed of the engine corresponds to the target value in the respective driving situation. Depending on the system, an idle controller may also be used, which represents an air duct around the closed throttle valve. The air flow in the duct can be regulated using pulse-width modulated signals from the control unit. When the air conditioning is switched on or during a cold start, for example, a higher speed than usual is necessary when idling. Conversely, the whole technology also means that the position of the accelerator pedal has no direct influence on the position of the throttle valve, but is simply interpreted by the control unit. The existing systems then implement this."
Fuel preparation	Mixture preparation	Injection unit		"With central injection, also known as single point injection, the fuel is sprayed through the injection unit into the throttle body in front of the throttle valve. There it mixes with the intake air cleaned by the air filter and is transported through the open throttle valve into the intake manifold before it finally reaches the cylinders through the open inlet valves. The aim is to produce a fuel-air mixture that is as homogeneous as possible in every operating state and that burns evenly. This is achieved by atomizing the fuel as finely as possible at the central injection valve and creating corresponding turbulence due to the high pressure. Central injection nozzle of a single-point intake manifold injection Image: Florian Lidner @wikimedia.org (CC BY 2.5) Structure of a central injection valve The fuel feed pump presses the fuel through the supply line into the injection unit, the main component of which is the central injection valve. This consists of a pintle valve with a pointed valve needle that is pressed firmly onto the valve opening by a spring. At the end of the spring there is a magnet armature and a magnet winding that can open the pintle valve by means of a current flow. The interaction of fuel pressure and the effect of the electromagnet overcomes the spring force and the pintle valve is raised by around 0.06 mm. The injection takes place in a cone shape around the injection pin, which enables good atomization. However, this is still not enough to produce a homogeneous mixture, because parts of the fuel condense on the pipes and cylinder walls, especially during cold starts. Edge turbulence and long pipes can have a negative effect on mixture formation. On the other hand, the fuel has plenty of time to mix with the air and the design is much simpler and therefore cheaper than comparable multi-point injection systems."
Fuel preparation	Mixture preparation	Injector/Injector nozzle/Nozzle assembly/PDE		"The fuel can be injected using either single-point or multi-point injection. Multi-point injection has the advantage that each cylinder has its own injection valve. The advantage is that there is less wall film formation when the engine is cold, as the injection usually takes place directly in front of the intake valves. This saves fuel and improves exhaust emissions. Since there are no longer any angled pipes in the way, mixing with the intake air can also be optimized, i.e. the fuel-air mixture reaches the combustion chamber more homogeneously and can burn better. Injection valve from Bosch Injection nozzles for common rail and pump-nozzle systems High pressures during fuel injection have the advantage that the fuel mist is very finely atomized and mixes well with the intake air. A mixture that is as homogeneous as possible is the prerequisite for efficient combustion. Common rail technology in particular has established itself as an injection method. The injection valves are connected to a common fuel distribution pipe into which the fuel is pressed by a high-pressure pump. The technology now allows injection pressures of up to 3,000 bar, which is roughly equivalent to PDE systems. The advantage of common rail technology, however, is that the injection timing can be controlled electronically, while a pump-nozzle injector is operated directly by the camshaft. Pre- and post-injections for better combustion and smoother engine running are therefore only possible to a limited extent with pump-nozzle systems. However, the energy for the pressure build-up of the injection pump must be provided at a constant level."
Fuel preparation	Mixture preparation	Individual parts nozzle holder/nozzle		"The nozzle holder, also called the nozzle block, houses the injection nozzle and is supplied with fuel via the injection pump and the corresponding fuel lines. Its job is to hold and guide the nozzle and to tension it using a compression spring and pressure bolt. This pressure causes the nozzle needle to close the nozzle outlet opening so that no fuel can escape. Only when the fuel pressure becomes so high that the spring tension is overcome does the nozzle needle open the outlet opening and fuel is injected in a cone shape. The smaller the finely atomized fuel particles are and the more homogeneous the fuel-air mixture is, the more efficiently the combustion can take place. Injection nozzle in the nozzle holder Heat protection disk for a nozzle block Structure of a nozzle block The nozzle holder can be imagined as a housing with the fuel line and the fuel return (leak fuel) attached to the upper part. Inside there is usually a pressure adjustment disk, the compression spring, the pressure bolt, the intermediate disk and the nozzle needle in the nozzle body. Sometimes a rod filter is used, which is part of the pressure line inside the nozzle holder. The necessary injection pressure can be adjusted by the thickness of the pressure adjustment disk and thus the preload of the pressure spring. Seals or sealing rings for the nozzle holder are also required. They prevent fuel from escaping and also serve as heat protection. Fuel that has not been injected can flow back via the fuel return, also known as leak fuel. It absorbs heat and thus also cools the nozzle holder combination. Replacing parts of the nozzle holder When replacing defective nozzle holder parts, extreme care is required and experience is necessary. No dust or even dirt must get into the nozzle holder or onto the internal parts. When cleaning initially, you should also make sure never to use petrol or solvents, as this will remove the oil from the surface. However, it is sensitive and can begin to corrode even when exposed to humidity. Use suitable penetrating oil instead. The entire job should be left to professionals and is usually only carried out by special workshops."
Fuel preparation	Mixture preparation	Accelerator pedal/throttle		"The term accelerator pedal comes from the early days of automobile development, because the pedal regulated the throttle valve and thus the amount of air in the carburetor. The transmission took place mechanically via Bowden cables or rods. In modern cars, injection systems are used instead to form the mixture and the position of the throttle valve is regulated by the control unit. In technical literature, it is therefore referred to as an accelerator pedal. It is located in the driver's footwell and is usually operated with the right foot. However, a pedal relocation or alternative hand throttle may be necessary for people with physical disabilities. Next to it is the brake pedal, which is usually larger for safety reasons. Accelerator pedal from Bosch for a VW Golf IV Electronic accelerator pedal and suitable sensors The accelerator pedal can be mounted either hanging on a pivot point or standing in the car floor. A direct mechanical connection is no longer available in modern vehicles. Instead, the driver's gas request is determined by the accelerator pedal position. Potentiometers or Hall sensors measure the displacement of the accelerator pedal compared to the initial position and transmit the signals to the engine control unit. There they are interpreted depending on other control variables and finally implemented. Since the driver does not receive any feedback via the foot with electronic accelerator pedals, force feedback accelerator pedals are also a new development. They can vibrate and build up artificial counterpressure to encourage the driver to drive efficiently."
Fuel preparation	Mixture preparation	Throttle cable/rod		"The throttle cable or throttle linkage has the task of mechanically transmitting the accelerator pedal position to the throttle valve. The opening of the throttle valve determines the air flow in the throttle body and thus also the available combustion air. Since the control unit generally aims for a stoichiometric ratio between fuel and air, i.e. the ratio remains as constant as possible, the amount of air injected is also determined by the amount of air. This is referred to as quantitative mixture regulation. Disengaged throttle cable Electronic accelerator pedal displaces throttle cable and throttle linkage A throttle cable or throttle linkage is generally reserved for older vehicles such as vintage and classic cars, since the electronic accelerator pedal has become the norm in modern cars. The pedal position is determined by means of sensors and passed on to the control unit. This has the advantage that other control variables such as the engine temperature can also be taken into account. This reduces fuel consumption. The control unit is also able to react to all driving situations and operating conditions and can, for example, automatically increase the air supply by adjusting the throttle position at idle when additional consumers such as the air conditioning system are switched on."
Fuel preparation	Mixture preparation	Fuel injection pump/high pressure pump		"The injection pump is a positive displacement pump that delivers a defined volume of fuel per revolution, stroke or time, regardless of the pressure conditions. Different types of pumps can be used for this, depending on the injection system. High-pressure piston pumps are usually used as in-line injection pumps in commercial vehicles, i.e. the individual pump elements are each assigned to just one cylinder. Radial piston pumps are a variation of the principle. They are usually lubricated by the engine oil or sometimes even by their own oil sump. This makes these injection pumps suitable for fuels with poor lubricating properties, such as gasoline. In-line injection pumps are rarely used in diesel cars, however, as they have been replaced by pump-nozzle injectors and, above all, common rail systems. High-pressure pump for a common rail system Image: Stahlkocher @wikimedia.org (CC BY-SA 3.0) High-pressure pump of a common rail system Although the high-pressure pump of a common rail system is also called an injection pump, it lacks quantity and timing regulation. The pump only has to generate high pressure in the common distributor pipe of the injection valves, which in turn are opened electronically by the engine control. Modern high-pressure pumps generate a pressure of approx. 2,500 bar to 3,000 bar. For cost reasons, however, they are usually only lubricated by the diesel fuel itself. If this lubricating film breaks off, e.g. due to incorrect refueling with petrol, metal parts can come loose due to friction, destroying the entire injection system. The high pressure damages the injection valves in particular, which usually makes it necessary to completely replace the injection system. If you have accidentally put petrol in your diesel vehicle, do not start the engine under any circumstances. If this mishap does happen to you, you can buy a suitable injection pump cheaply from kfzteile24."
Fuel preparation	Mixture preparation	Idle/warm-up control		"The speed of an internal combustion engine can be regulated via the air flow that passes through the throttle valve. The more air that is available, the more fuel can be injected and burned (quantitative mixture regulation). The position of the throttle valve therefore has a major influence on the engine's power output and was previously determined mechanically by the accelerator pedal using a throttle cable or throttle linkage. In modern vehicles, the control unit takes over this function and regulates the throttle valve position using numerous parameters and sensor data. The system must recognize the necessary power; after all, the engine must not simply turn off when the vehicle is stopped. Idle speed controllers, also known as idle control valves, warm-up controllers or adjustment potentiometers are used to regulate idle speed. Idle control valve from Hella Task of idle control In order to minimize a car's fuel consumption, the engine speed when idling is defined by the vehicle manufacturer. However, different engine temperatures and connected consumers such as any heaters or air conditioning systems determine the power output. For example, internal resistance caused by viscous engine oil during cold starts must be overcome. The drive of the generator and air conditioning compressor also costs energy. The control unit must therefore constantly measure the speed and compare the actual value determined with the specified target value. If the speed measured on the crankshaft or camshaft is too low, the control unit adjusts it. This can be done using a throttle valve actuator, i.e. a servomotor. Another form of idle control is idle valve actuators, which can be thought of as a bypass. They bypass the closed throttle valve and can channel more or less air into the intake tract using pulse-width modulated signals."
Fuel preparation	Mixture preparation	Air mass meter/air flow meter		"The air mass meter is a further development of the air flow meter and is an indispensable part of modern engines. However, its function and how to diagnose problems are not completely clear to many car enthusiasts. In the following lines, we want to explain not only how to replace the air mass meter, but also how it works, which symptoms indicate a defect and how to test the sensor. Task of the air mass meter The air mass meter sends a voltage signal to the control unit which represents the air mass taken in by the engine. The sensor therefore has a direct influence on the mixture formation, as the aim is always to inject as much fuel as is needed for a stoichiometric fuel-air mixture. This means nothing other than that all of the fuel can be burned without leaving any oxygen. The stoichiometric mixture is relevant for downstream exhaust gas purification, as the 3-way catalytic converter can only work optimally if this ratio, also known as ?=1, is present. How an air mass meter works Air mass meters are installed in the intake tract behind the air filter and are based either on a heating wire or a hot film sensor on a ceramic carrier. In both cases, the air mass is determined by keeping the wire or the resistor at a constant temperature. The voltage required for this varies depending on the air mass flowing past, which has a cooling effect. Up to 1,000 measuring and control processes per second allow rapid voltage adjustment and injection that is appropriate to the driving situation."
Fuel preparation	Mixture preparation	Sensor/Probe		"In order to correctly determine the required injection quantity for the fuel in every driving situation and in all weather conditions, the control unit is dependent on the operating data acquisition of various probes and sensors. The main control variables are the speed and the load. They determine the basic injection quantity, which is refined using so-called correction variables. Sensors measure, among other things, the temperature of the engine and the intake air as well as the pressure in the environment and in the intake manifold. The position of the accelerator pedal is recorded, as is the position of the throttle valve and the camshaft position. All of this data combines to form an overall picture and enable the vehicle to be operated economically. Lambda sensor from Bosch for VW Golf III Speed ??sensor from Bosch for VW Golf III Redundancy through different sensors The numerous parameters of the different probes and sensors not only allow the control unit to determine the ideal fuel injection, but even make it possible to check sensor data for plausibility. For example, when measuring exhaust gases using a lambda sensor in front of the catalytic converter, there must be more oxygen in the exhaust gas than when measuring behind the catalytic converter, as it is ultimately used up by the catalytic reaction. If this is not the case, there is an error that is detected by the on-board diagnostics. The control sensor, catalytic converter or control sensor could be defective. The same applies to the speed measurement, which is usually measured on the crankshaft but can also be determined by the camshaft. The redundancy makes it easier to diagnose errors, but on the other hand it can also mean that the car can no longer be moved until the conflict between different sensor data has been resolved. More failures due to a variety of sensors? The sensor technology required in the automotive sector is not without controversy, as the system is more susceptible to failures due to its complexity. However, strict emissions standards and customer demands for low consumption can only be met if the engine control system also becomes increasingly intelligent. At the same time, consumer expectations in terms of safety and comfort are increasing. This tension between different and conflicting goals makes the development of a new car increasingly expensive. However, you can at least save on maintenance by buying defective sensors cheaply from kfzteile24."
Fuel preparation	Mixture preparation	Control unit		"The control unit, also known as the ECU (electronic control unit) or ECM (electronic control module), is the heart of the engine management system, as this is where all sensor data converges, is interpreted and used for mixture formation according to the programming. The control unit uses various actuators to regulate the engine speed according to the EVA principle (input, processing, output) and also reports when implausible data occurs. Depending on the severity of the fault, the control unit can either go into emergency mode and enrich the fuel-air mixture or stop the injection and bring the car to a standstill. ECM of a 1996 Chevrolet Beretta Image: Mgiardina09 @wikimedia.org (CC BY-SA 3.0) Control unit for a 1990 Geo Storm GSi Image: ldar Sagdejev @wikipedia.org (CC BY-SA 3.0) Triumph of electronic control units Until the 1980s, mechanical control concepts were widespread in the automotive sector, but due to increasingly strict emissions standards and rising fuel prices, electronic control units soon became indispensable. Technical progress has even made it possible to significantly optimize consumption, although additional comfort and safety systems require more and more engine power. At the same time, pollutant emissions have fallen, as the electronic control in conjunction with the catalytic converter can neutralize a large proportion of the carbon monoxide as well as the unburned hydrocarbons and nitrogen oxides. Requirements for the control unit A control unit can of course only work effectively if it receives information about the vehicle, the environment and the operating status. Numerous probes and sensors therefore constantly collect data and pass this on to the control unit. Due to the variety of sensors and the necessary networking, a system bus is also necessary, which can be imagined as a common cable network that connects sensors, actuators and the control unit. Without the system bus, the necessary cabling would assume gigantic proportions, driving up the cost and weight of a car. The CAN bus, for example, developed by Bosch in cooperation with Intel, has found widespread use. It offers two different transmission rates, so that sensor signals and engine control commands can be transmitted much faster than is necessary for the electric windows, for example."
Fuel preparation	Mixture preparation	Valves/valve unit		"The injection system of a car is a complex system that also uses pressure control valves and valves for overrun cut-off, among other things. They are designed to ensure that only the amount of fuel specified by the control unit is injected. The pressure control valve is particularly important because if it is defective, not enough fuel pressure can be built up for the injection and the engine inevitably stops. Pressure control valve from febi bilstein for a BWM Structure and function of a pressure control valve Although pressure control valves can also be attached directly to the high-pressure pump, due to the spread of common rail systems, installation on the rail is much more common. The valve seals the high-pressure side from the low-pressure side. A valve spring closes the fuel return line so that a pressure of approx. 100 bar can build up. However, this pressure is not yet sufficient for the fine atomization of the fuel and is therefore amplified by magnets. The control unit sends a signal, which energizes the electromagnet and can build up additional force. The fuel pressure generated by the high-pressure pump now increases to around 400 bar when idling and to 2,000 to 2,500 bar when under full load. To ensure that no pressure fluctuations occur in the distributor pipe due to the additional magnetic force, the modulation takes place at a frequency of 1 kHz, or 1,000 times per second. Due to the inertia of the fuel, the pressure in the rail remains almost constant. The control unit receives the necessary data on the rail pressure from the rail pressure sensor. Valve for the overrun cut-off The overrun cut-off is intended to prevent fuel from being injected if the engine is running at high speed despite the throttle valve being closed. This driving condition is called overrun mode and it can occur, for example, when driving downhill. As the air supply is throttled, injected fuel would significantly enrich the mixture, which would result in increased consumption and poor exhaust emissions. The valve for the overrun cut-off prevents this and is activated by the control unit. This evaluates the engine speed and the throttle valve position and continues injection as soon as a specified minimum speed is exceeded or the throttle valve is opened again."
Fuel preparation	Carburettor system			"With the triumph of modern injection systems since the 1990s, carburettors have become less important. However, they can still be found in vintage cars and scooters. Their job is to atomize fuel to create a combustible fuel-air mixture, which is then fed into the combustion chamber of the cylinder. Unlike with injection systems, the amount of fuel is not regulated by a control unit, but is determined by the negative pressure of the air flowing past the fuel outlet pipe. 3D model of a carburettor Image: Siemens PLM Software @flickr.com (CC BY-ND 2.0) Structure and function of a carburettor In its simplest version (single carburettor), the carburettor consists of a single tube (the Venturi tube) that has a cross-sectional constriction and is built into the intake tract. The air sucked in by the piston stroke flows to the constriction and is accelerated there so that it can pass through. A negative pressure is created. This suction effect can now be used to mix the fuel with the air and form an aerosol. The exit point of the fuel line is at the narrowest point, so that fuel droplets are carried along. To support this process, the fuel is usually foamed in the feed pipe to the carburetor, i.e. mixed with air via a nozzle. The speed and power output of the engine are controlled via a downstream throttle valve, which in old cars is often adjusted mechanically by a throttle cable or throttle linkage. Types of carburetors Carburettors have long determined the mixture formation in automobiles and their designs are accordingly diverse. Flat-flow, oblique-flow and downdraft carburetors differ, for example, in the arrangement of the intake manifold and the direction of the intake flow. The most common type of downdraft carburettor is a downdraft carburettor, which is mounted above the engine and uses gravity. They can also be differentiated by the number of mixing chambers. Single-flow carburetors have just one air funnel, double-flow carburetors have two. Since the ideal mixture composition depends on many factors, but the cross-section of the constriction is fixed, register or staged carburettors were developed. They have two air funnels of different thicknesses in order to provide an appropriate mixture ratio at least for idling and partial load compared to full load operation. They should not be confused with double carburettors. Constant pressure carburettors and slide carburettors were also attempts to optimize the fuel-air mixture."
Fuel preparation	Carburettor system	Actuation/Damper/Cans		"For the carburetor to work, an air flow in the Venturi tube is necessary. The negative pressure generated entrains fuel particles, which exit from the fuel supply line. The air flow is regulated by the position of the throttle valve and driven by the movement of the pistons in the cylinder. In order to be able to change the throttle valve position, it must be connected to the accelerator pedal. This is done either by a throttle cable or a throttle linkage. In modern injection systems, the control unit can determine the throttle valve position and the angle of the accelerator pedal. Vacuum unit or pull-down unit for VW Golf II Function of the vacuum unit The vacuum unit of a carburetor is also known as a pull-down unit and is part of an automatic cold start system. The engine oil is more viscous, the lubrication is suboptimal and the energy required to run the engine is higher. In addition, some of the fuel condenses on the pipes and does not initially reach the combustion chamber. For this reason, the fuel-air mixture is enriched when the engine is cold. This is done by closing the starter flap with the throttle slightly open. This increases the negative pressure in the Venturi tube and more fuel is carried along by the air flow. As the temperature rises, this is no longer necessary, so the amount of fuel has to be reduced again. In a vacuum unit, a vacuum-controlled diaphragm rod takes over this task by regulating the opening angle of the air flap."
